رقم الطلب ,Unnamed: 1,الجنس ,المنطقة الإدارية ,الجنسية ,اسم المدرسة ,نوع المبادرة ,المركز,المرحلة التعليمية,المرحلة الاولية,المرحلة النهائية,الدورة,ملاحظات
RCA-3124,,2,2,190,تحفيظ القرآن الإبتدائية السادسة,6,1,1,1,1,2,
RCA-322,,1,2,190,أبي بن كعب المتوسطة,1,1,2,1,0,2,
RCA-3421,,1,2,207,مدرسة قريش الثانوية,4,1,3,1,0,2,
RCA-1764,,1,3,190,العريض الابتدائية,3,1,1,1,0,2,
RCA-050,,2,3,190,متوسطة وثانوية المربع للبنات,2,1,2,1,1,2,
RCA-2121,,2,3,190,الثانوية الخامسة بينبع البحر,2,1,3,1,0,2,
RCA-1048,,2,13,190,الابتدائيه الاولى بسكاكا,2,1,1,1,0,2,
RCA-1909,,1,13,190,متوسطة العمرية الأهلية,4,1,2,1,0,2,
RCA-2152,,2,13,190,ثانوية فتيات الاوائل الأهليه,2,1,3,1,0,2,
RCA-3000,,2,11,243,المدرسة الخامسة للطفولة المبكرة,3,1,1,1,1,2,
RCA-982,,2,11,190,ثانوية الحضن,6,1,3,1,0,2,
RCA-993,,2,11,190,ثانوية الحضن,1,1,3,1,0,2,
RCA-154,,1,8,190,مدرسة سماء المعرفة,3,1,1,1,0,2,
RCA-1635,,2,8,190,متوسطه الحائط الأولى,3,1,2,1,0,2,
RCA-3815,,1,8,190,ثانوية الإدريسي,2,1,3,1,0,2,
RCA-2165,,2,7,190,الثانوية الأولى بالحرة الشمالية,7,1,3,1,0,2,
RCA-195,,2,1,190,مدارس المطورون الأهلية,2,1,1,1,0,2,
RCA-3063,,2,1,190,المتوسطة التاسعة و الستون,7,1,2,1,0,2,
RCA-2219,,2,1,207,الثانوية الثانية بالدرعية,6,1,3,1,0,2,
RCA-106,,2,5,190,مدارس جواثا الاهلية,7,1,1,1,0,2,
RCA-093,,1,5,190,متوسطة دور العلوم الأهلية,5,1,2,1,0,2,
RCA-3350,,2,5,190,مدارس الشروق المتقدمة,6,1,3,1,0,2,
RCA-592,,2,4,190,مدارس التربيه النموذجيه,7,1,1,1,0,2,
RCA-2117,,1,4,190,متوسطة ذات الصواري,3,1,2,1,0,2,
RCA-1584,,2,4,190,الثانويه الثالثه,1,1,3,1,0,2,
RCA-2254,,1,12,190,متوسطة آل موسى,3,1,2,1,0,2,
RCA-3616,,1,12,190,ثانوية الاطاوله,3,1,3,1,0,2,
RCA-2340,,2,9,190,الابتدائية السابعة عشر,5,1,1,1,0,2,
RCA-2306,,2,9,190,المتوسطة الثامنة,1,1,2,1,0,2,
RCA-3553,,2,9,190,الثانوية الاولى,5,1,3,1,0,2,
RCA-2753,,2,10,190,ابتدائية ومتوسطة الحصامة,3,1,1,1,0,2,
RCA-3254,,2,10,190,الإبتدائيه الخامسة والمتوسطة الثانية,3,1,2,1,0,2,
RCA-3787,,1,10,190,ثانوية الإمام الشافعي,5,1,3,1,0,2,
RCA-1425,,1,6,190,مدارس التربية المتميزة الأهلية بأبها,6,1,1,1,0,2,
RCA-1535,,2,6,190,المتوسطة الثانية بظهران الجنوب,3,1,2,1,0,2,
RCA-3117,,1,6,190,ثانوية زيد بن الخطاب,3,1,3,1,0,2,
RCA-3465,,2,11,190,ثانوية الحضن,1,1,2,1,0,2,
RCA-934,,2,12,190,مجمع اسماء بنت كعب بالحكمان,6,1,1,1,0,2,
RCA-2607,,2,2,190,الرابعة والثلاثون بعد المائة للبنات,7,3,1,1,0,2,
RCA-3924,,2,2,190,المتوسطة العاشرة بعد المئة,7,3,2,1,0,2,
RCA-557,,1,2,190,ثانوية الأمير سعود الفيصل بمكة,3,3,3,1,0,2,
RCA-3537,,1,3,190,السعودية الابتدائية,9,3,1,1,0,2,
RCA-3413,,1,3,190,الحسن بن علي المتوسطة,5,3,2,1,0,2,
RCA-114,,2,13,190,المدرسة الابتدائية السادسة,3,3,1,1,0,2,
RCA-608,,2,13,190,الثانويه الخماسه للبنات بالجوف,1,3,3,1,0,2,
RCA-371,,1,11,190,عبدالرحمن بن ابي بكر,3,3,1,1,0,2,
RCA-1861,,2,8,190,الحماد,1,3,1,1,0,2,
RCA-1645,,2,8,190,عماير المرير,1,3,2,1,0,2,
RCA-1617,,2,8,190,مجمع عمائر المرير,3,3,3,1,0,2,
RCA-1459,,2,1,190,المتقدمة للتعلم الذكي الأهلية,3,3,1,1,0,2,
RCA-3183,,2,1,207,المتوسطة الاولى برماح,6,3,2,1,0,2,
RCA-1417,,2,1,62,النبلاء الاهلية قسم ثانوي بنات,1,3,3,1,0,2,
RCA-348,,1,5,190,ابتدائية المعارف بالدمام(طفولة مبكرة ),3,3,1,1,0,2,
RCA-2099,,2,5,190,مدارس جواثا الاهليه,1,3,2,1,0,2,
RCA-2113,,1,5,190,ثانوية الفيصلية,6,3,3,1,0,2,
RCA-838,,2,4,190,أميمة بنت الخطاب للطفولة المبكرة,3,3,1,1,0,2,
RCA-203,,2,4,190,الثانويه الثانيه التعليم المذنب,9,3,3,1,0,2,
RCA-2133,,1,12,190,ابتدائية وادي مدع بقلوة,5,3,1,1,0,2,
RCA-1798,,1,12,190,ثانوية بني ظبيان,5,3,3,1,0,2,
RCA-3820,,1,9,190,مدرسة تحفيظ القرآن الكريم بعرعر,6,3,1,1,1,2,
RCA-3602,,2,9,190,المتوسطة السابعه بنات,3,3,2,1,0,2,
RCA-3125,,2,9,190,الثانوية الخامسة بطريف,7,3,3,1,0,2,
RCA-1822,,1,10,190,مجمع الدفرة التعليمي بنين,3,3,2,1,0,2,
RCA-989,,2,10,190,مدرسة القرعة بجبل سلا,3,3,1,1,0,2,
RCA-3783,,1,10,190,مدرسة الامام الشافعي,6,1,3,1,0,2,الاول مكرر
RCA-176,,2,6,190,ابتدائيه الطفوله المبكره بالعسران,3,3,1,1,0,2,
RCA-488,,2,6,190,متوسطة وثانوية القرحاء للبنات بأحد رفيدة,9,3,3,1,0,2,
RCA-2496,,1,3,190,ثانوية طيبة للموهوبين,1,3,3,1,0,2,الثالث مناصفه
RCA-3696,,1,2,190,عبد الله بن ابي بكر للطفولة المبكرة,7,2,1,1,0,2,
RCA-3927,,2,2,190,العاشرة بعد المئة,7,2,2,1,0,2,
RCA-1209,,1,2,190,الأمير سعودي الفيصل الثانوي,3,2,3,1,0,2,
RCA-2904,,2,3,190,الابتدائية الثالثة بينبع الصناعية,2,2,1,1,0,2,
RCA-876,,2,3,190,المتوسطة الرابعة بينبع,2,2,2,1,0,2,
RCA-3648,,2,3,190,الثانوية الرابعة في ينبع البحر,7,2,3,1,0,2,
RCA-1671,,2,13,190,الإبتدائية الرابعة بدومة الجندل,3,2,1,1,0,2,
RCA-2127,,2,13,190,المتوسطة الثانية التعليم العام,9,2,2,1,1,2,
RCA-917,,2,13,190,مدارس عالم رياض الصالحين الأهلية,6,2,3,1,0,2,
RCA-3209,,2,11,243,الابتدائيه الثانيه للطفوله المبكره,3,2,1,1,0,2,
RCA-1797,,2,11,190,الثانويه الثالثه,6,2,3,1,0,2,
RCA-2231,,2,8,190,مدارس منار العلم الابتدائيه,3,2,1,1,0,2,
RCA-3390,,2,8,190,متوسطة التحفيظ الثالثة,9,2,2,1,0,2,
RCA-1857,,2,8,190,مجمع الرقب,7,2,3,1,0,2,
RCA-3698,,2,7,190,الثانوية السابعة ( برنامج العوق البصري ),3,2,3,1,0,2,
RCA-607,,1,1,190,مدارس نيار التعليمي,7,2,1,1,0,2,
RCA-1992,,1,1,190,مدارس الأمجاد الأهلية,3,2,2,1,1,2,
RCA-3029,,1,1,190,مدرسة المتقدمة للتعلم الذكي أهلي و دبلوما,5,2,3,1,1,2,
RCA-024,,1,5,190,مدارس دور العلوم الأهلية,5,2,1,1,0,2,
RCA-243,,2,5,190,مدارس الانجال الأهلية,6,2,2,1,0,2,
RCA-027,,2,5,190,مدارس جواثا الأهلية,7,2,3,1,0,2,
RCA-1434,,2,4,190,مدرسة حواء للطفوله المبكرة,3,2,1,1,0,2,
RCA-2103,,2,4,190,الثانوية الاولى بالنبهانية,7,2,3,1,0,2,
RCA-179,,2,12,190,ابتدائية قلوة الثانية,7,2,1,1,0,2,
RCA-178,,1,12,190,متوسطه القادسية,3,2,2,1,0,2,
RCA-3521,,2,12,190,مجمع ثانوية الغبشة,6,2,3,1,0,2,
RCA-2774,,1,9,190,كعب بن مالك,3,2,1,1,0,2,
RCA-3764,,2,9,190,المتوسطة الرابعة عشر بعرعر -بنات,3,2,2,1,0,2,
RCA-846,,1,9,190,مدارس التميز العلمي,5,2,3,1,1,2,
RCA-857,,2,10,190,ابتدائية الحميراء,1,2,1,1,0,2,
RCA-3030,,2,10,190,المتوسطة الثانية,2,2,2,1,0,2,
RCA-3829,,1,10,190,مدرسة الامام الشافعي,5,1,3,1,0,2,الاول مكرر
RCA-1817,,1,6,190,ابتدائية الوهابة للطفولة المبكرة,3,2,1,1,0,2,
RCA-1810,,2,6,190,ثانوية القوباء,5,2,3,1,0,2,
RCA-2878,,2,1,190,مدارس التربيه النموذجيه,6,2,3,1,1,2,الثاني مكرر
